CustomerKey,FirstName,MiddleName,LastName,BirthDate,AddressLine1,Phone,City
11057,Carl,J,Andersen,10/12/1953,6930 Lake Nadine Place,1 (11) 500 555-0181,
11058,Marc,,Diaz,4/27/1954,6645 Sinaloa,1 (11) 500 555-0149,
11059,Ashlee,J,Andersen,4/1/1954,8255 Highland Road,1 (11) 500 555-0112,
11060,Jon,L,Zhou,3/17/1954,6574 Hemlock Ave.,1 (11) 500 555-0174,
11061,Todd,M,Gao,2/27/1954,8808 Geneva Ave,1 (11) 500 555-0191,
11062,Noah,D,Powell,9/2/1975,9794 Marion Ct,767-555-0113,
11063,Angela,,Murphy,4/7/1975,4927 Virgil Street,451-555-0162,
11064,Chase,,Reed,12/7/1975,2721 Alexander Pl.,892-555-0184,
11065,Jessica,,Henderson,10/9/1973,9343 Ironwood Way,278-555-0186,
11066,Grace,T,Butler,11/27/1973,4739 Garden Ave.,712-555-0141,
11067,Caleb,F,Carter,9/25/1976,9563 Pennsylvania Blvd.,944-555-0167,
11068,Tiffany,,Liang,9/23/1955,3608 Sinclair Avenue,1 (11) 500 555-0177,
11069,Carolyn,,Navarro,9/21/1955,4606 Springwood Court,1 (11) 500 555-0145,
11070,Willie,T,Raji,4/5/1955,6260 Vernal Drive,1 (11) 500 555-0151,
11071,Linda,,Serrano,6/26/1955,9808 Shaw Rd.,1 (11) 500 555-0130,
11072,Casey,,Luo,2/6/1955,9513 Roslyn Drive,1 (11) 500 555-0125,
11073,Amy,,Ye,8/14/1956,2262 Kirkwood Ct.,1 (11) 500 555-0185,
11074,Levi,A,Arun,8/28/1956,4661 Bluetail,1 (11) 500 555-0127,
11075,Felicia,L,Jimenez,11/16/1957,786 Eastgate Ave,1 (11) 500 555-0165,
11076,Blake,,Anderson,7/13/1957,5436 Clear,1 (11) 500 555-0113,
11077,Leah,,Ye,9/19/1957,1291 Arguello Blvd.,1 (11) 500 555-0154,
11078,Gina,E,Martin,1/10/1974,1349 Sol St.,196-555-0114,
11079,Donald,,Gonzalez,3/11/1959,4236 Malibu Place,1 (11) 500 555-0137,
11080,Damien,,Chander,7/17/1959,9941 Stonehedge Dr.,1 (11) 500 555-0111,
11081,Savannah,C,Baker,7/24/1966,1210 Trafalgar Circle,478-555-0117,
11082,Angela,L,Butler,8/4/1966,6040 Listing Ct,579-555-0195,
11083,Alyssa,F,Cox,3/15/1966,867 La Orinda Place,561-555-0140,
11084,Lucas,,Phillips,9/12/1957,8668 St. Celestine Court,863-555-0172,
11085,Emily,,Johnson,7/19/1957,7926 Stephanie Way,850-555-0184,
11086,Ryan,,Brown,12/23/1957,2939 Wesley Ct.,539-555-0198,
11087,Tamara,L,Liang,10/3/1957,3791 Rossmor Parkway,178-555-0152,
11088,Hunter,,Davis,11/25/1957,4308 Sand Pointe Lane,612-555-0141,
11089,Abigail,M,Price,2/5/1957,2685 Blackburn Ct,532-555-0117,
11090,Trevor,,Bryant,12/17/1957,5781 Sharon Dr.,853-555-0174,
11091,Dalton,,Perez,4/4/1957,6083 San Jose,559-555-0115,
11092,Cheryl,A,Diaz,5/6/1967,7297 Kaywood Drive,1 (11) 500 555-0192,
11093,Aimee,A,He,9/10/1967,1833 Olympic Drive,1 (11) 500 555-0161,
11094,Cedric,W,Ma,4/1/1962,3407 Oak Brook Place,1 (11) 500 555-0115,
11095,Chad,,Kumar,9/1/1962,1681 Lighthouse Way,1 (11) 500 555-0151,
11096,Andrés,,Anand,8/10/1962,5423 Los Gatos Ct.,1 (11) 500 555-0184,
11097,Edwin,R,Nara,10/27/1961,719 William Way,1 (11) 500 555-0112,
11098,Mallory,S,Rubio,5/1/1961,6452 Harris Circle,1 (11) 500 555-0157,
11099,Adam,,Ross,3/8/1961,4378 Westminster Place,1 (11) 500 555-0186,
11100,Latasha,L,Navarro,9/15/1960,6954 Ranch Road,1 (11) 500 555-0123,
11101,Abby,L,Sai,5/8/1965,7074 N. Spoonwood Court,1 (11) 500 555-0174,
11102,Julia,L,Nelson,4/21/1965,2196 Coat Ct.,1 (11) 500 555-0124,
11103,Cassie,,Chande,10/17/1964,9448 San Marino Ct.,1 (11) 500 555-0166,
11104,Edgar,A,Sara,3/11/1964,6127 Lilly Lane,1 (11) 500 555-0125,
11105,Candace,,Fernandez,12/28/1964,5029 Blue Ridge,1 (11) 500 555-0162,
11106,Jessie,,Liu,9/11/1964,3063 Blue Jay Drive,1 (11) 500 555-0163,
11107,Bianca,,Lin,9/9/1959,7530 Eola,1 (11) 500 555-0121,
11108,Kari,C,Alvarez,7/14/1963,9178 Thornhill Place,1 (11) 500 555-0169,
11109,Ruben,D,Kapoor,11/5/1963,1984 Glendale Circle,1 (11) 500 555-0132,
11110,Curtis,,Yang,6/6/1962,4052 Mt. Wilson Way,1 (11) 500 555-0127,
11111,Meredith,T,Gutierrez,2/23/1962,7610 Northridge Ct.,1 (11) 500 555-0179,
11112,Crystal,C,Wang,9/9/1962,2773 Kirkwood Dr,1 (11) 500 555-0134,
11113,Micheal,A,Blanco,2/21/1962,596 Marfargoa Drive,1 (11) 500 555-0131,
11114,Leslie,C,Moreno,5/28/1962,7941 Cristobal,1 (11) 500 555-0115,
11115,Alvin,D,Cai,2/12/1962,7759 Azalea Avenue,1 (11) 500 555-0191,
11116,Clinton,E,Carlson,10/7/1962,7943 Cunha Ct.,1 (11) 500 555-0184,
11117,April,,Deng,2/21/1961,485 Ash Lane,1 (11) 500 555-0182,
11118,Alvin,M,Zeng,7/3/1957,3853 Wildcat Circle,1 (11) 500 555-0174,
11119,Evan,V,James,4/10/1935,4157 Sierra Ridge,1 (11) 500 555-0187,
11120,Beth,H,Jiménez,8/9/1936,7401 Las Palmas,1 (11) 500 555-0164,
11121,Orlando,,Suarez,11/18/1960,7743 Hames Dr,1 (11) 500 555-0198,
11122,Byron,,Vazquez,4/2/1960,3187 Hackamore Lane,1 (11) 500 555-0136,
11123,Philip,A,Alvarez,6/20/1960,2775 Mt. Olivet Pl.,1 (11) 500 555-0191,
11124,Ross,F,Jordan,7/27/1957,6973 Dublin Court,1 (11) 500 555-0126,
11125,Dana,J,Navarro,4/8/1956,8481 Zartop Street,1 (11) 500 555-0172,
11126,Shaun,,Carson,4/7/1949,57 Wolf Way,1 (11) 500 555-0155,
11127,Jan,,Edwards,10/21/1975,9409 The Alameda,111-555-0118,
11128,Samantha,,Long,12/5/1975,1606 Alderwood Lane,175-555-0139,
11129,Julia,M,Wright,8/5/1975,7397 Central Blvd.,456-555-0174,
11130,Caroline,L,Russell,1/6/1980,3884 Bates Court,424-555-0137,
11131,Amanda,,Rivera,3/12/1980,9573 Royal Oak Rd.,918-555-0126,
11132,Melissa,E,Richardson,10/26/1980,6832 Fruitwood Dr,928-555-0118,
11133,Angela,,Griffin,9/8/1980,3828 Baltic Sea Ct,598-555-0174,
11134,Larry,D,Townsend,2/26/1946,7034 Carson,1 (11) 500 555-0130,
11135,Marcus,L,Harris,11/3/1979,9068 Quiet Place Drive,442-555-0119,
11136,Brianna,D,Morgan,10/26/1978,9005 Eagle Ct.,954-555-0117,
11137,Jasmine,A,Taylor,7/20/1978,2457 Matterhorn Court,557-555-0146,
11138,Lauren,,Davis,9/15/1978,8105 Pembrook Court,832-555-0121,
11139,Tanya,,Moreno,11/9/1938,6155 Wilbur Drive,1 (11) 500 555-0185,
11140,Javier,L,Alvarez,2/11/1977,8935 Etcheverry Dr.,763-555-0134,
11141,Nicole,,Ramirez,6/21/1977,1101 C Street,152-555-0162,
11142,Eduardo,,Patterson,8/14/1977,6255 Macalvey Dr.,190-555-0184,
11143,Jonathan,M,Henderson,2/4/1977,165 East Lane Road,149-555-0113,
11144,Edward,,Hernandez,9/9/1979,7607 Pine Hollow Road,178-555-0196,
11145,Jasmine,L,Coleman,12/8/1979,1961 Oak Grove Road,857-555-0115,
11146,Karla,L,Goel,8/26/1939,3272 Corrie Lane,1 (11) 500 555-0137,
11147,Ernest,L,Wu,2/5/1939,1832 RiverRock Dr,1 (11) 500 555-0139,
11148,Ross,,Vazquez,8/16/1941,1201 Paso Del Rio Way,1 (11) 500 555-0163,
11149,Theodore,,Gill,4/20/1941,9120 Pinewood Court,1 (11) 500 555-0194,
11150,Russell,M,Shen,3/15/1941,4755 Easley Drive,1 (11) 500 555-0191,
11151,Melinda,G,Gill,2/25/1942,805 Rainier Dr.,1 (11) 500 555-0117,
11152,James,J,Williams,1/10/1976,6827 Seagull Court,355-555-0153,
11153,Angela,R,James,6/23/1976,8877 Weatherly Drive,847-555-0111,
11154,Megan,G,Walker,8/21/1976,6898 Holiday Hills,918-555-0186,
11155,Hunter,J,Robinson,1/26/1976,8356 Mori Court,891-555-0125,
11156,Maria,,Roberts,2/7/1976,9452 Mariposa Ct.,158-555-0199,
11157,Hannah,E,Long,6/11/1975,1832 Preston Ct.,974-555-0177,
11158,Jason,K,Wright,10/8/1975,6771 Bundros Court,694-555-0176,
11159,Brianna,A,Hughes,9/17/1975,6793 Bonifacio St.,319-555-0183,
11160,Maurice,M,Tang,1/8/1974,2886 Chaparral Court,947-555-0172,
11161,Emily,,Wood,4/22/1974,1562 Black Walnut,184-555-0114,
11162,Chase,,Cox,3/5/1974,P.O. Box 8070,764-555-0116,
11163,Gabriel,,Wang,12/20/1974,8002 Crane Court,617-555-0150,
11164,Devin,,Brooks,5/5/1974,4231 Highland Dr.,502-555-0138,
11165,Jocelyn,,Alexander,7/18/1973,3376 Bank Way,354-555-0134,
11166,Ashley,,Martinez,4/24/1972,6993 Whyte Park Ave.,131-555-0194,
11167,Jasmine,J,Barnes,8/1/1972,9183 Via Del Sol,178-555-0156,
11168,David,,Rodriguez,5/15/1968,38 Shangri-la Rd.,730-555-0128,
11169,Bryce,,Richardson,6/22/1968,1841 Blackwood Drive,178-555-0176,
11170,Carol,T,Howard,2/5/1968,6281 Edward Ave,845-555-0127,
11171,Jonathan,E,Hill,10/9/1967,3731 Chinquapin Ct,134-555-0196,
11172,Gabrielle,J,Adams,11/21/1967,5621 Arcadia Pl.,403-555-0152,
11173,Sarah,F,Thomas,9/1/1967,5636 Mt. Whitney Dr.,868-555-0188,
11174,Nicholas,,Robinson,7/13/1967,1318 Lasalle Street,949-555-0138,
11175,Luis,,Wang,3/5/1963,6943 Patterson Blvd.,418-555-0127,
11176,Mason,D,Roberts,1/25/1968,5753 Megan Dr.,539-555-0162,
11177,Jose,M,Flores,7/4/1942,3991 Rambling Rose Drive,157-555-0182,
11178,Nathan,J,Johnson,8/24/1943,8927 Daylight Place,117-555-0182,
11179,Molly,E,Rodriguez,6/14/1943,5556 Riverland Dr.,135-555-0185,
11180,April,,Anand,1/2/1943,3531 Brookview Drive,702-555-0144,
11181,Devin,P,Martin,8/8/1943,1085 Greenbelt Way,735-555-0197,
11182,Stephanie,,Torres,8/25/1944,6968 Mildred Ln.,567-555-0176,
11183,Jasmine,W,Lee,7/15/1944,7502 Contuti Avenue,147-555-0199,
11184,Meghan,,Hernandez,11/16/1944,5872 L St.,967-555-0188,
11185,Ashley,,Henderson,10/8/1944,8834 San Jose Ave.,173-555-0121,
11186,Sarah,C,Price,5/21/1944,4815 Paraiso Ct.,180-555-0133,
11187,Jennifer,S,Cooper,2/22/1944,2429 Longview Road,857-555-0111,
11188,Catherine,,Morris,9/6/1944,6542 Stonewood Drive,795-555-0117,
11189,Lawrence,W,Blanco,7/15/1944,7502 Contuti Avenue,656-555-0171,
11190,Carson,,Bryant,6/22/1944,2995 Youngsdale Dr.,240-555-0142,
11191,Kristi,E,Perez,12/18/1945,1769 Lislin Ct,123-555-0181,
11192,James,C,Brown,9/13/1945,673 Old Mountain View Dr.,725-555-0117,
11193,Ian,A,Gray,2/13/1945,5941 Gill Dr.,596-555-0190,
11194,Jacqueline,R,Price,6/10/1945,872 Mark Twain Dr,266-555-0112,
11195,Megan,,Henderson,2/10/1946,8411 Mt. Olivet Place,560-555-0150,
11196,Alfredo,,Romero,6/7/1946,2499 Greendell Pl,342-555-0110,
11197,Andrea,,Morris,6/18/1946,1883 Green View Court,715-555-0178,
11198,Brooke,,Sanders,11/26/1946,5192 Dumbarton Drive,215-555-0156,
11199,Jacqueline,,Bennett,11/6/1946,8948 Chinquapin Court,413-555-0174,
11200,Jason,L,Griffin,11/22/1947,7239 Nicholas Drive,232-555-0160,
11201,Amanda,,Foster,8/18/1947,3984 San Francisco,505-555-0159,
11202,Alexia,L,Price,8/26/1947,2079 Wellington Ct,552-555-0118,
11203,Luis,D,Diaz,8/21/1948,3682 Diablo View Road,171-555-0126,
11204,Destiny,C,Rivera,6/1/1948,6965 Appalachian Drive,743-555-0111,
11205,Abby,,Fernandez,7/24/1948,8330 Glenside Court,134-555-0119,
11206,Blake,,Flores,9/24/1948,9410 Ferry St.,975-555-0163,
11207,Danielle,,Cox,7/19/1948,2346 Wren Ave,396-555-0158,
11208,Maria,,Reed,2/4/1948,1413 Bridgeview St,156-555-0163,
11209,Allison,,Evans,1/13/1948,3515 Sutton Circle,988-555-0151,
11210,Edward,J,Wood,6/8/1948,1039 Adelaide St.,229-555-0114,
11211,Samantha,,Russell,10/12/1949,9256 Village Oaks Dr.,547-555-0121,
11212,Chloe,,Campbell,11/5/1949,3562 East Ave.,205-555-0169,
11213,Stephanie,B,Murphy,5/14/1949,5514 Grant Street,293-555-0151,
11214,Charles,O,Miller,11/7/1949,2719 Little Dr,389-555-0115,
11215,Ana,,Perry,6/21/1950,3114 Arlington Way,446-555-0134,
11216,Jasmine,A,Torres,5/20/1950,8328 San Francisco,939-555-0130,
11217,Natalie,P,Adams,2/11/1950,6592 Bent Tree Lane,300-555-0150,
11218,Olivia,,Brown,9/11/1950,3964 Stony Hill Circle,414-555-0147,
11219,Charles,,Cook,12/2/1950,6871 Bel Air Dr.,755-555-0111,
11220,Erica,C,Huang,2/23/1950,9142 All Ways Drive,618-555-0157,
11221,Nathan,,Perry,6/10/1950,9714 Nicholas Drive,271-555-0191,
11222,Alexandra,,Rivera,8/17/1950,4999 Corte Segunda,488-555-0143,
11223,Hailey,I,Patterson,9/16/1951,5045 Vancouver Way,480-555-0126,
11224,Tiffany,J,Li,9/6/1951,6404 Del Mar Ave,197-555-0118,
11225,Madison,D,Lee,2/16/1951,5927 Seaview Avenue,471-555-0142,
11226,Sydney,T,Ross,9/27/1951,5252 Santa Fe,219-555-0146,
11227,Marshall,D,Chavez,8/12/1951,9022 Estudillo Street,712-555-0116,
11228,Ashley,R,Jones,4/19/1951,7681 Willow Pass Road,996-555-0169,
11229,Adrian,C,Stewart,12/3/1951,6898 Shaw Rd.,812-555-0122,
11230,Amber,,Turner,4/3/1951,6345 Ridge Circle,155-555-0131,
11231,Dennis,,Zhang,11/14/1952,3951 Calle Verde Drive,710-555-0134,
11232,Hailey,R,Bryant,9/27/1952,2828 Rogers Ave.,156-555-0195,
11233,Todd,,Li,9/9/1952,5897 Scottsdale Rd.,680-555-0147,
11234,Anna,,Griffin,11/19/1952,7221 Peachwillow Street,965-555-0146,
11235,Angel,J,Stewart,2/8/1952,2585 La Salle Ct.,540-555-0122,
11236,Jeremy,,Butler,3/5/1952,8811 The Trees Dr.,980-555-0117,
11237,Clarence,M,Anand,9/23/1958,Welt Platz 6,1 (11) 500 555-0191,
11238,Mayra,,Prasad,8/10/1958,1119 Elderwood Dr.,1 (11) 500 555-0116,
11239,Latoya,C,Goel,10/6/1958,8154 Pheasant Circle,1 (11) 500 555-0149,
11240,Anne,B,Hernandez,12/11/1958,76 Woodcrest Dr.,1 (11) 500 555-0119,
11241,Lisa,,Cai,10/11/1957,102, rue de Berri,
11242,Larry,,Munoz,11/11/1957,Midi-Couleurs,1 (11) 500 555-0193,
11243,Robin,V,Alvarez,10/9/1957,4086 Emmons Canyon Lane,1 (11) 500 555-0198,
11244,Alexis,M,Coleman,11/26/1957,7140 Camelback Road,1 (11) 500 555-0115,
11245,Ricky,D,Vazquez,10/27/1956,Roßstr 9928,1 (11) 500 555-0147,
11246,Latasha,,Rubio,10/9/1956,Alderstr 7690,1 (11) 500 555-0178,
11247,Claudia,M,Zhou,6/6/1956,6516 Beauer Lane,1 (11) 500 555-0116,
11248,Tristan,P,Alexander,3/26/1955,88, avenue des Champs-Elysées,
11249,Cindy,A,Patel,7/13/1955,Essener Straße 123,1 (11) 500 555-0149,
11250,Shannon,D,Liu,3/12/1955,4185 Keywood Ct.,1 (11) 500 555-0119,
11251,Xavier,,Long,7/4/1932,9245 Dantley Way,243-555-0114,
11252,Nicholas,D,Thompson,6/7/1932,504 O St.,377-555-0147,
11253,José,M,Hernandez,2/28/1933,5703 Donald Dr.,712-555-0130,
11254,Johnathan,W,Vance,3/3/1933,9430 Versailles Pl,494-555-0166,
11255,Colin,,Lin,4/4/1933,6083 San Jose,599-555-0132,
11256,Katelyn,L,Hernandez,9/20/1933,7496 Deerfield Dr.,249-555-0116,
11257,Jacqueline,,Powell,1/6/1933,4076 Northwood Dr,796-555-0111,
11258,Xavier,,Hill,6/28/1933,2707 Virgil Street,559-555-0149,
11259,Victoria,C,Stewart,3/27/1965,3623 Barquentine Court,230-555-0139,
11260,Katelyn,L,Kelly,4/12/1965,7085 Solano Drive,507-555-0132,
11261,Stephanie,,Collins,4/24/1965,2868 Central Avenue,209-555-0173,
11262,Jennifer,,Simmons,5/4/1964,7959 Mt. Wilson Way,148-555-0115,
11263,Trinity,,Richardson,9/11/1964,3063 Blue Jay Drive,111-555-0116,
11264,Eduardo,,Martin,6/17/1964,5137 Pheasant Court,342-555-0195,
11265,Elizabeth,P,Jones,7/13/1964,2253 Firestone Dr.,941-555-0110,
11266,Taylor,,Howard,5/5/1964,7396 Stratton Circle,162-555-0131,
11267,David,,Diaz,10/2/1964,2075 Browse Ct,613-555-0119,
11268,Katelyn,A,Carter,5/3/1964,3050 Monte Cresta Avenue,103-555-0195,
11269,Ryan,W,Foster,10/13/1964,5376 Sahara Drive,961-555-0133,
11270,Robert,L,Lee,5/4/1964,5461 Camino Verde Ct.,447-555-0174,
11271,Danielle,C,Reed,6/5/1964,6683 Carrick Ct,136-555-0114,
11272,Lauren,L,Martinez,11/10/1956,4357 Tosca Way,977-555-0117,
11273,Nathan,E,Lal,10/1/1956,7064 Cypress Ave,147-555-0121,
11274,Kyle,M,Foster,4/12/1934,5617 Landing Dr,846-555-0126,
11275,Jenny,D,Rai,1/18/1934,1440 Willow Pass Dr.,780-555-0119,
11276,Nancy,E,Chapman,9/19/1963,1480 Shoenic,909-555-0129,
11277,Charles,P,Jackson,6/10/1963,3400 Folson Drive,194-555-0175,
11278,Jonathan,,Phillips,8/20/1963,8772 Rock Creek Way,967-555-0176,
11279,Amanda,S,Cook,9/12/1963,9187 Vista Del Sol,252-555-0177,
11280,Robert,,Collins,8/21/1963,5271 Sierra Road,966-555-0171,
11281,Megan,J,Barnes,10/10/1963,40 Ellis St.,807-555-0156,
11282,Christian,A,Thomas,1/16/1962,5205 Coralie Drive,692-555-0172,
11283,Arturo,,Lal,10/26/1962,4593 Mendouno Dr.,638-555-0164,
11284,Theresa,,Serrano,3/27/1962,9007 S Royal Links Circle,777-555-0162,
11285,Jeremy,J,Anderson,3/19/1962,7655 Greer Ave,940-555-0176,
11286,Hunter,D,Griffin,3/3/1962,4079 Redbird Lane,410-555-0148,
11287,Henry,B,Garcia,1/16/1961,3268 Hazelwood Lane,282-555-0185,
11288,Cindy,K,Sanchez,9/16/1961,7062 Starflower Drive,198-555-0118,
11289,Maria,S,Carter,3/7/1961,8603 Elmhurst Lane,239-555-0158,
11290,Katelyn,,Sanchez,8/18/1961,8869 Climbing Vine Court,395-555-0150,
11291,Jenna,,Wright,5/5/1961,232 Pinnacle Drive,118-555-0191,
11292,Seth,,Phillips,11/5/1961,4361 Loftus Road,980-555-0196,
11293,Luke,S,Long,5/27/1955,3177 Dover Way,786-555-0117,
11294,Dalton,P,Clark,9/3/1955,4381 Amazonas,388-555-0195,
11295,Taylor,G,Lewis,5/16/1954,8827 Ward Court,291-555-0174,
11296,Haley,,Richardson,10/7/1935,6203 Laurel Drive,620-555-0129,
11297,Noah,,Coleman,2/2/1935,5562 Galindo Street,847-555-0167,
11298,Jon,,Luo,3/3/1935,3560 River Rock Lane,127-555-0189,
11299,Orlando,E,Vazquez,4/1/1936,8547 Catherine Way,757-555-0143,
11300,Fernando,,Barnes,3/3/1960,7633 Greenhills Circle,469-555-0125,
11301,Cameron,L,Rodriguez,6/9/1960,1217 Mariposa,727-555-0119,
11302,Spencer,,Russell,12/12/1960,2396 Mink Court,834-555-0131,
11303,Julia,,Coleman,10/11/1960,3128 Ramsey Circle,907-555-0170,
11304,Julia,B,Garcia,3/17/1960,6179 Mt. Hamilton Dr.,923-555-0183,
11305,Sean,A,Evans,6/19/1960,7118 Elliott Dr.,791-555-0174,
11306,Micah,A,Zhou,6/22/1960,6105 Brownstone Rd,497-555-0185,
11307,Hunter,P,Rodriguez,11/4/1954,4343 Cook Street,996-555-0142,
11308,Ian,T,Gonzales,3/5/1954,7122 Athene Dr.,904-555-0153,
11309,Victoria,,Lewis,6/12/1954,4426 Tanager Road,586-555-0191,
11310,Erin,A,Sanders,7/9/1953,7541 Black Point Pl,233-555-0160,
11311,Gabrielle,D,Lopez,8/24/1953,8619 Parkside Dr.,783-555-0174,
11312,Sara,,Richardson,4/3/1953,7375 Kipling Court,296-555-0174,
11313,Trevor,,Jenkins,2/27/1953,4697 Yosemite Dr.,120-555-0129,
11314,Mya,,Flores,12/21/1953,8439 Rio Grande Drive,522-555-0140,
11315,Hailey,J,Ward,10/1/1953,6321 Maya,767-555-0151,
11316,Luke,,Allen,11/17/1953,419 Deermeadow Way,786-555-0133,
11317,Victoria,D,Russell,9/17/1952,9268 Keller Ridge,663-555-0197,
11318,Jessica,,Wilson,10/26/1952,1652 Willcrest Circle,702-555-0180,
11319,Jade,E,Bailey,4/27/1937,8119 Northridge Ct,819-555-0160,
11320,Morgan,M,Hill,6/26/1937,6951 Harmony Way,510-555-0120,
11321,Terrance,D,Raman,7/8/1938,2297 Via Valencia,879-555-0124,
11322,Sydney,,Garcia,3/15/1938,252 Hemlock Drive,783-555-0116,
11323,Jose,,Patterson,6/20/1938,648 Newport Drive,768-555-0153,
